"tipo_vehiculo","anio_inscripcion_inicial","mes_inscripcion_inicial","provincia_inscripcion_inicial","letra_provincia_inscripcion_inicial","cantidad_inscripciones_iniciales","provincia_id"
"Motovehículos",2017,9,"La Pampa","L",460,"42"
"Motovehículos",2017,9,"La Rioja","F",1173,"46"
"Motovehículos",2017,9,"Mendoza","M",2337,"50"
"Motovehículos",2017,9,"Misiones","N",1974,"54"
"Motovehículos",2017,9,"Neuquén","Q",592,"58"
"Motovehículos",2017,9,"Río Negro","R",772,"62"
"Motovehículos",2017,9,"Salta","A",2565,"66"
"Motovehículos",2017,9,"San Juan","J",1011,"70"
"Motovehículos",2017,9,"San Luis","D",932,"74"
"Motovehículos",2017,9,"Santa Cruz","Z",106,"78"
"Motovehículos",2017,9,"Santa Fe","S",5959,"82"
"Motovehículos",2017,9,"Santiago del Estero","G",2715,"86"
"Motovehículos",2017,9,"Tierra del Fuego","V",56,"94"
"Motovehículos",2017,9,"Tucumán","T",4130,"90"
"Motovehículos",2017,10,"Buenos Aires","B",18259,"06"
"Motovehículos",2017,10,"Catamarca","K",809,"10"
"Motovehículos",2017,10,"Chaco","H",5393,"22"
"Motovehículos",2017,10,"Chubut","U",340,"26"
"Motovehículos",2017,10,"Ciudad Autónoma de Bs.As.","C",2145,"02"
"Motovehículos",2017,10,"Córdoba","X",6119,"14"
"Motovehículos",2017,10,"Corrientes","W",2816,"18"
"Motovehículos",2017,10,"Entre Ríos","E",1888,"30"
"Motovehículos",2017,10,"Formosa","P",2349,"34"
"Motovehículos",2017,10,"Jujuy","Y",1561,"38"
"Motovehículos",2017,10,"La Pampa","L",585,"42"
"Motovehículos",2017,10,"La Rioja","F",1146,"46"
"Motovehículos",2017,10,"Mendoza","M",2395,"50"
"Motovehículos",2017,10,"Misiones","N",2019,"54"
"Motovehículos",2017,10,"Neuquén","Q",629,"58"
"Motovehículos",2017,10,"Río Negro","R",848,"62"
"Motovehículos",2017,10,"Salta","A",3075,"66"
"Motovehículos",2017,10,"San Juan","J",1186,"70"
"Motovehículos",2017,10,"San Luis","D",987,"74"
"Motovehículos",2017,10,"Santa Cruz","Z",144,"78"
"Motovehículos",2017,10,"Santa Fe","S",6535,"82"
"Motovehículos",2017,10,"Santiago del Estero","G",2897,"86"
"Motovehículos",2017,10,"Tierra del Fuego","V",64,"94"
"Motovehículos",2017,10,"Tucumán","T",4819,"90"
"Motovehículos",2017,11,"Buenos Aires","B",18332,"06"
"Motovehículos",2017,11,"Catamarca","K",842,"10"
"Motovehículos",2017,11,"Chaco","H",5343,"22"
"Motovehículos",2017,11,"Chubut","U",266,"26"
"Motovehículos",2017,11,"Ciudad Autónoma de Bs.As.","C",2320,"02"
"Motovehículos",2017,11,"Córdoba","X",5826,"14"
"Motovehículos",2017,11,"Corrientes","W",2881,"18"
"Motovehículos",2017,11,"Entre Ríos","E",1995,"30"
"Motovehículos",2017,11,"Formosa","P",1975,"34"
"Motovehículos",2017,11,"Jujuy","Y",1508,"38"
"Motovehículos",2017,11,"La Pampa","L",464,"42"
"Motovehículos",2017,11,"La Rioja","F",1106,"46"
"Motovehículos",2017,11,"Mendoza","M",2495,"50"
"Motovehículos",2017,11,"Misiones","N",1938,"54"
"Motovehículos",2017,11,"Neuquén","Q",619,"58"
"Motovehículos",2017,11,"Río Negro","R",877,"62"
"Motovehículos",2017,11,"Salta","A",3051,"66"
"Motovehículos",2017,11,"San Juan","J",1183,"70"
"Motovehículos",2017,11,"San Luis","D",1127,"74"
"Motovehículos",2017,11,"Santa Cruz","Z",110,"78"
"Motovehículos",2017,11,"Santa Fe","S",6183,"82"
"Motovehículos",2017,11,"Santiago del Estero","G",2633,"86"
"Motovehículos",2017,11,"Tierra del Fuego","V",82,"94"
"Motovehículos",2017,11,"Tucumán","T",4291,"90"
"Motovehículos",2017,12,"Buenos Aires","B",15103,"06"
"Motovehículos",2017,12,"Catamarca","K",794,"10"
"Motovehículos",2017,12,"Chaco","H",5007,"22"
"Motovehículos",2017,12,"Chubut","U",248,"26"
"Motovehículos",2017,12,"Ciudad Autónoma de Bs.As.","C",1990,"02"
"Motovehículos",2017,12,"Córdoba","X",4920,"14"
"Motovehículos",2017,12,"Corrientes","W",2544,"18"
"Motovehículos",2017,12,"Entre Ríos","E",1680,"30"
"Motovehículos",2017,12,"Formosa","P",1880,"34"
"Motovehículos",2017,12,"Jujuy","Y",1265,"38"
"Motovehículos",2017,12,"La Pampa","L",384,"42"
"Motovehículos",2017,12,"La Rioja","F",1019,"46"
"Motovehículos",2017,12,"Mendoza","M",2012,"50"
"Motovehículos",2017,12,"Misiones","N",1883,"54"
"Motovehículos",2017,12,"Neuquén","Q",534,"58"
"Motovehículos",2017,12,"Río Negro","R",720,"62"
"Motovehículos",2017,12,"Salta","A",2515,"66"
