"tipo_vehiculo","anio_transferencia","mes_transferencia","provincia_transferencia","letra_provincia_transferencia","cantidad_transferencias","provincia_id"
"Motovehículos",2022,8,"Salta","A",315,"66"
"Motovehículos",2022,8,"San Juan","J",403,"70"
"Motovehículos",2022,8,"San Luis","D",385,"74"
"Motovehículos",2022,8,"Santa Cruz","Z",52,"78"
"Motovehículos",2022,8,"Santa Fe","S",5275,"82"
"Motovehículos",2022,8,"Santiago del Estero","G",307,"86"
"Motovehículos",2022,8,"Tierra del Fuego","V",61,"94"
"Motovehículos",2022,8,"Tucumán","T",762,"90"
"Motovehículos",2022,9,"Buenos Aires","B",15046,"06"
"Motovehículos",2022,9,"Catamarca","K",147,"10"
"Motovehículos",2022,9,"Chaco","H",688,"22"
"Motovehículos",2022,9,"Chubut","U",216,"26"
"Motovehículos",2022,9,"Ciudad Autónoma de Bs.As.","C",1637,"02"
"Motovehículos",2022,9,"Córdoba","X",5369,"14"
"Motovehículos",2022,9,"Corrientes","W",808,"18"
"Motovehículos",2022,9,"Entre Ríos","E",2024,"30"
"Motovehículos",2022,9,"Formosa","P",204,"34"
"Motovehículos",2022,9,"Jujuy","Y",158,"38"
"Motovehículos",2022,9,"La Pampa","L",559,"42"
"Motovehículos",2022,9,"La Rioja","F",229,"46"
"Motovehículos",2022,9,"Mendoza","M",1576,"50"
"Motovehículos",2022,9,"Misiones","N",637,"54"
"Motovehículos",2022,9,"Neuquén","Q",421,"58"
"Motovehículos",2022,9,"Río Negro","R",491,"62"
"Motovehículos",2022,9,"Salta","A",240,"66"
"Motovehículos",2022,9,"San Juan","J",418,"70"
"Motovehículos",2022,9,"San Luis","D",489,"74"
"Motovehículos",2022,9,"Santa Cruz","Z",66,"78"
"Motovehículos",2022,9,"Santa Fe","S",5519,"82"
"Motovehículos",2022,9,"Santiago del Estero","G",360,"86"
"Motovehículos",2022,9,"Tierra del Fuego","V",52,"94"
"Motovehículos",2022,9,"Tucumán","T",736,"90"
"Motovehículos",2022,10,"Buenos Aires","B",13269,"06"
"Motovehículos",2022,10,"Catamarca","K",146,"10"
"Motovehículos",2022,10,"Chaco","H",571,"22"
"Motovehículos",2022,10,"Chubut","U",174,"26"
"Motovehículos",2022,10,"Ciudad Autónoma de Bs.As.","C",1447,"02"
"Motovehículos",2022,10,"Córdoba","X",4739,"14"
"Motovehículos",2022,10,"Corrientes","W",672,"18"
"Motovehículos",2022,10,"Entre Ríos","E",1813,"30"
"Motovehículos",2022,10,"Formosa","P",166,"34"
"Motovehículos",2022,10,"Jujuy","Y",134,"38"
"Motovehículos",2022,10,"La Pampa","L",478,"42"
"Motovehículos",2022,10,"La Rioja","F",179,"46"
"Motovehículos",2022,10,"Mendoza","M",1255,"50"
"Motovehículos",2022,10,"Misiones","N",516,"54"
"Motovehículos",2022,10,"Neuquén","Q",410,"58"
"Motovehículos",2022,10,"Río Negro","R",429,"62"
"Motovehículos",2022,10,"Salta","A",250,"66"
"Motovehículos",2022,10,"San Juan","J",338,"70"
"Motovehículos",2022,10,"San Luis","D",401,"74"
"Motovehículos",2022,10,"Santa Cruz","Z",48,"78"
"Motovehículos",2022,10,"Santa Fe","S",4580,"82"
"Motovehículos",2022,10,"Santiago del Estero","G",268,"86"
"Motovehículos",2022,10,"Tierra del Fuego","V",61,"94"
"Motovehículos",2022,10,"Tucumán","T",653,"90"
"Motovehículos",2022,11,"Buenos Aires","B",14192,"06"
"Motovehículos",2022,11,"Catamarca","K",155,"10"
"Motovehículos",2022,11,"Chaco","H",610,"22"
"Motovehículos",2022,11,"Chubut","U",209,"26"
"Motovehículos",2022,11,"Ciudad Autónoma de Bs.As.","C",1562,"02"
"Motovehículos",2022,11,"Córdoba","X",5080,"14"
"Motovehículos",2022,11,"Corrientes","W",781,"18"
"Motovehículos",2022,11,"Entre Ríos","E",1944,"30"
"Motovehículos",2022,11,"Formosa","P",138,"34"
"Motovehículos",2022,11,"Jujuy","Y",154,"38"
"Motovehículos",2022,11,"La Pampa","L",477,"42"
"Motovehículos",2022,11,"La Rioja","F",210,"46"
"Motovehículos",2022,11,"Mendoza","M",1405,"50"
"Motovehículos",2022,11,"Misiones","N",542,"54"
"Motovehículos",2022,11,"Neuquén","Q",422,"58"
"Motovehículos",2022,11,"Río Negro","R",504,"62"
"Motovehículos",2022,11,"Salta","A",285,"66"
"Motovehículos",2022,11,"San Juan","J",378,"70"
"Motovehículos",2022,11,"San Luis","D",401,"74"
"Motovehículos",2022,11,"Santa Cruz","Z",71,"78"
"Motovehículos",2022,11,"Santa Fe","S",4892,"82"
"Motovehículos",2022,11,"Santiago del Estero","G",347,"86"
"Motovehículos",2022,11,"Tierra del Fuego","V",89,"94"
"Motovehículos",2022,11,"Tucumán","T",742,"90"
"Motovehículos",2022,12,"Buenos Aires","B",11455,"06"
"Motovehículos",2022,12,"Catamarca","K",157,"10"
"Motovehículos",2022,12,"Chaco","H",503,"22"
"Motovehículos",2022,12,"Chubut","U",192,"26"
"Motovehículos",2022,12,"Ciudad Autónoma de Bs.As.","C",1212,"02"
"Motovehículos",2022,12,"Córdoba","X",4383,"14"
"Motovehículos",2022,12,"Corrientes","W",606,"18"
"Motovehículos",2022,12,"Entre Ríos","E",1639,"30"
"Motovehículos",2022,12,"Formosa","P",118,"34"
"Motovehículos",2022,12,"Jujuy","Y",132,"38"
"Motovehículos",2022,12,"La Pampa","L",420,"42"
"Motovehículos",2022,12,"La Rioja","F",181,"46"
"Motovehículos",2022,12,"Mendoza","M",1307,"50"
"Motovehículos",2022,12,"Misiones","N",530,"54"
"Motovehículos",2022,12,"Neuquén","Q",387,"58"
"Motovehículos",2022,12,"Río Negro","R",381,"62"
"Motovehículos",2022,12,"Salta","A",230,"66"
"Motovehículos",2022,12,"San Juan","J",328,"70"
"Motovehículos",2022,12,"San Luis","D",353,"74"
