"tipo_vehiculo","anio_transferencia","mes_transferencia","provincia_transferencia","letra_provincia_transferencia","cantidad_transferencias","provincia_id"
"Maquinarias",2014,3,"Santiago del Estero","G",0,"86"
"Maquinarias",2014,3,"Tierra del Fuego","V",0,"94"
"Maquinarias",2014,3,"Tucumán","T",2,"90"
"Maquinarias",2014,4,"Buenos Aires","B",90,"06"
"Maquinarias",2014,4,"Catamarca","K",1,"10"
"Maquinarias",2014,4,"Chaco","H",12,"22"
"Maquinarias",2014,4,"Chubut","U",5,"26"
"Maquinarias",2014,4,"Ciudad Autónoma de Bs.As.","C",140,"02"
"Maquinarias",2014,4,"Córdoba","X",130,"14"
"Maquinarias",2014,4,"Corrientes","W",2,"18"
"Maquinarias",2014,4,"Entre Ríos","E",27,"30"
"Maquinarias",2014,4,"Formosa","P",0,"34"
"Maquinarias",2014,4,"Jujuy","Y",3,"38"
"Maquinarias",2014,4,"La Pampa","L",6,"42"
"Maquinarias",2014,4,"Mendoza","M",17,"50"
"Maquinarias",2014,4,"Misiones","N",1,"54"
"Maquinarias",2014,4,"Neuquén","Q",3,"58"
"Maquinarias",2014,4,"Río Negro","R",3,"62"
"Maquinarias",2014,4,"Salta","A",2,"66"
"Maquinarias",2014,4,"San Juan","J",1,"70"
"Maquinarias",2014,4,"San Luis","D",1,"74"
"Maquinarias",2014,4,"Santa Cruz","Z",1,"78"
"Maquinarias",2014,4,"Santa Fe","S",80,"82"
"Maquinarias",2014,4,"Santiago del Estero","G",0,"86"
"Maquinarias",2014,4,"Tierra del Fuego","V",0,"94"
"Maquinarias",2014,4,"Tucumán","T",4,"90"
"Maquinarias",2014,5,"Buenos Aires","B",64,"06"
"Maquinarias",2014,5,"Catamarca","K",0,"10"
"Maquinarias",2014,5,"Chaco","H",6,"22"
"Maquinarias",2014,5,"Chubut","U",3,"26"
"Maquinarias",2014,5,"Ciudad Autónoma de Bs.As.","C",161,"02"
"Maquinarias",2014,5,"Córdoba","X",150,"14"
"Maquinarias",2014,5,"Corrientes","W",4,"18"
"Maquinarias",2014,5,"Entre Ríos","E",22,"30"
"Maquinarias",2014,5,"Formosa","P",1,"34"
"Maquinarias",2014,5,"Jujuy","Y",0,"38"
