"tipo_vehiculo","anio_inscripcion_inicial","mes_inscripcion_inicial","provincia_inscripcion_inicial","letra_provincia_inscripcion_inicial","cantidad_inscripciones_iniciales","provincia_id"
"Maquinarias",2014,9,"Catamarca","K",4,"10"
"Maquinarias",2014,9,"Chaco","H",24,"22"
"Maquinarias",2014,9,"Chubut","U",1,"26"
"Maquinarias",2014,9,"Ciudad Autónoma de Bs.As.","C",236,"02"
"Maquinarias",2014,9,"Córdoba","X",145,"14"
"Maquinarias",2014,9,"Corrientes","W",6,"18"
"Maquinarias",2014,9,"Entre Ríos","E",47,"30"
"Maquinarias",2014,9,"Formosa","P",4,"34"
"Maquinarias",2014,9,"Jujuy","Y",9,"38"
"Maquinarias",2014,9,"La Pampa","L",10,"42"
"Maquinarias",2014,9,"La Rioja","F",0,"46"
"Maquinarias",2014,9,"Mendoza","M",49,"50"
"Maquinarias",2014,9,"Misiones","N",9,"54"
"Maquinarias",2014,9,"Neuquén","Q",10,"58"
"Maquinarias",2014,9,"Río Negro","R",4,"62"
"Maquinarias",2014,9,"Salta","A",20,"66"
"Maquinarias",2014,9,"San Juan","J",10,"70"
"Maquinarias",2014,9,"San Luis","D",5,"74"
"Maquinarias",2014,9,"Santa Cruz","Z",1,"78"
"Maquinarias",2014,9,"Santa Fe","S",139,"82"
"Maquinarias",2014,9,"Santiago del Estero","G",10,"86"
"Maquinarias",2014,9,"Tierra del Fuego","V",7,"94"
"Maquinarias",2014,9,"Tucumán","T",3,"90"
"Maquinarias",2014,10,"Buenos Aires","B",169,"06"
"Maquinarias",2014,10,"Catamarca","K",3,"10"
"Maquinarias",2014,10,"Chaco","H",21,"22"
"Maquinarias",2014,10,"Chubut","U",11,"26"
"Maquinarias",2014,10,"Ciudad Autónoma de Bs.As.","C",304,"02"
"Maquinarias",2014,10,"Córdoba","X",205,"14"
"Maquinarias",2014,10,"Corrientes","W",10,"18"
"Maquinarias",2014,10,"Entre Ríos","E",40,"30"
"Maquinarias",2014,10,"Formosa","P",4,"34"
"Maquinarias",2014,10,"Jujuy","Y",5,"38"
"Maquinarias",2014,10,"La Pampa","L",20,"42"
"Maquinarias",2014,10,"La Rioja","F",0,"46"
